pregunta,respuesta,keywords
"Fui a capacitacion, pero me devolvieron. ¿Que debo hacer ahora?","Por favor, comunícate con un agente al +56 2 2666 0874 para revisar tu caso y reagendar tu capacitación lo antes posible, o pídeme que te transfiera con un agente para recibir apoyo humano.",fui capacitacion devolvieron ahora
¿Como debo ir vestido a mi prestacion de servicio?,"Para tu prestación de servicio, te recomendamos presentarte así:

- Pelo tomado y ordenado.
- Polera Zubale; si no tienes, una negra u oscura sin estampados.
- Pantalón jeans o de tela largos, sin cortes ni rasgados.
- Zapatos o zapatillas casuales cerradas y sobrias.
- Polerón Zubale; en caso de que necesites, si no tienes, uno negro u oscuro.
- Credencial: tendrás tu credencial digital en la app y, al llegar a tienda, el coordinador de sala te entregará tu credencial impresa. Te pedimos portarla en todo momento.",vestido prestacion servicio
Como agendo mi capacitacion y que necesito?,"Para agendar tu capacitación presencial, primero completa tu registro en la app. Luego:
1. Entra al apartado Reservas.
2. Selecciona la tienda, el día y la franja de tiempo disponible.
3. Si es tu primera vez, agenda solo 1 espacio.

Recuerda ir con ropa cómoda, sin estampados y de colores oscuros (de preferencia negro). La noche anterior recibirás el contacto del coordinador de Zubale en tienda por si necesitas apoyo al llegar.",agendo capacitacion necesito
Cuando llegue a tienda donde me dirijo ?,"Al llegar a la tienda el día y en la franja de tiempo de tu reserva, dirígete al mesón de coordinadores de Zubale. La noche anterior te llegará un mensaje con el nombre y contacto de tu coordinador, por si necesitas apoyo.",llegue tienda dirijo
Quiero cambiar mi rol,"🛒 Para cambiarte a otra marca o rol:
1. Abre la app de Zubale.
2. Ve a tu perfil y selecciona Centro de ayuda.
3. Haz clic en """"Iniciar conversación"""".
4. Escribe tu correo registrado y solicita el cambio de rol.
5. Indica claramente a qué rol y marca deseas cambiarte.

💬 Nuestro equipo de soporte revisará tu caso y te indicará los pasos a seguir.",cambiar rol
"Buen día, me está arrojando este error mi aplicación! Hay que hacer algo ?","Lamento que estés teniendo problemas con la app.
Te compartimos qué hacer según tu situación:

✅ Si puedes ingresar a la app:
1. Abre la app de Zubale.
2. Ve a tu perfil y selecciona Centro de ayuda.
3. Haz clic en ""Iniciar conversación"".
4. Escribe tu correo registrado y describe brevemente el error que estás viendo.

❌ Si el error no te permite ingresar a la app:
Ingresa a 👉 https://www.zubalero.com/cl/soporte/",está arrojando error aplicación
Como puedo cambiar mi número de celular en la app,"✅ Si aún tienes acceso a tu número anterior y puedes ingresar a la app:
1.Abre la app de Zubale.
2. Ve a tu perfil y selecciona Centro de ayuda.
3. Haz clic en ""Iniciar conversación"".
4. Escribe tu correo registrado y menciona que deseas cambiar tu número de teléfono.
5. Indica el nuevo número que deseas registrar.

❌ Si el error no te permite ingresar a la app:
Ingresa a 👉 https://www.zubalero.com/cl/soporte/",cambiar número celular app
"Disculpa, en que momento se refleja el cambio de tienda?","Si deseas cambiar de tieda, no hay ningun problema, solo debes escoger tus citas en otra de tu gusto. Ahora bien, si deseas cabiar de cliente, debes solicitarlo con la coordinacion de sala o bien con soporte a través del siguiente enlace 👉 https://www.zubalero.com/cl/soporte/
Recuerda cancelar tus reservas en la tienda donde ya no estarás activo y comenzar a realizar tus reservas en la nueva tienda que elijas.",momento refleja cambio tienda
"Si se llegara abrir una vacante para una tienda o marca diferente a la que me voy a activar, podría realizar el cambio ?","Para cambiarte a otra tienda:
No hay problema. Solo debes cancelar tus reservas actuales y hacer nuevas reservas en la tienda que prefieras directamente desde la app.

🛒 Para cambiarte a otra marca o proyecto:
1. Abre la app de Zubale.
2. Ve a tu perfil y selecciona Centro de ayuda.
3. Haz clic en ""Iniciar conversación"".
4. Escribe tu correo registrado y solicita el cambio de marca.
5. Indica claramente a qué marca deseas cambiarte.

💬 Nuestro equipo de soporte revisará tu caso y te indicará los pasos a seguir.",llegara abrir vacante tienda marca diferente voy activar
Puedo cambiar mi aplicación a otro teléfono ?,"Sí, puedes usar tu cuenta de Zubale en otro teléfono, siempre que el dispositivo sea compatible con la app.

📲 Una vez instalado, solo debes iniciar sesión con tu correo o número y contraseña registrados.
Si tienes problemas al cambiar de dispositivo, puedes contactar a soporte desde 👉 www.zubalero.com/cl/soporte/",cambiar aplicación teléfono
Hay manera de qué se pueda abordar directamente con soporte técnico?,"Sí, puedes contactar directamente al equipo de soporte técnico.
Solo sigue estos pasos según tu situación:

✅ Si puedes ingresar a la app de Zubale:
1. Abre la app.
2. Ve a tu perfil y selecciona Centro de ayuda.
3. Presiona ""Iniciar conversación"".
4.Escribe tu nombre, correo y teléfono registrados, y explica brevemente tu problema.

❌ Si no puedes acceder a la app:
Ingresa a 👉 https://www.zubalero.com/cl/soporte/",manera pueda abordar directamente soporte técnico
"Hola buenas tardes ! al ingresar a la app no me da la tienda en a que me quiero activar, qué hago?","Puede pasar por dos motivos: (1) por el momento no hay cupos disponibles en esa tienda o (2) la app no tiene acceso a tu ubicación. Revisa que tengas la ubicación activada y los permisos habilitados para Zubale. Importante: la capacitación presencial se realiza en la tienda que eliges durante el registro. Al finalizar tu registro, entra a Reservas, toca Reservar turnos y elige el día y la franja de tiempo disponible (para tu primera cita, reserva solo 1 espacio). Una vez que completes tu capacitación, podrás reservar espacios en la sala de tu preferencia según disponibilidad.",ingresar app tienda activar
"Tenia un saldo en mi cuenta pero ya no puedo accesar a ella, qué puedo hacer?","Si ya no puedes acceder a tu cuenta y tenías un saldo pendiente, no te preocupes, vamos a ayudarte a recuperarla o revisar tu caso.
Por favor, contáctanos aquí  👉 https://www.zubalero.com/cl/soporte/
💬 Nuestro equipo de soporte te responderá lo antes posible para ayudarte a solucionarlo.",tenia saldo cuenta accesar ella
"Ya puede acceder ahora sí bien a la app, pero tuve que instalarlo en otro equipo, y aún así aparece como si fuera nuevo usuario, está bien?","Hola, gracias por tu mensaje.
Si al instalar la app en otro equipo aparece como si fueras un nuevo usuario, lo más probable es que no hayas iniciado sesión con el mismo correo registrado originalmente.

🔄 Te sugerimos hacer lo siguiente:
1. Verifica que estás usando el mismo correo y número de teléfono con el que te registraste.
2. Cierra sesión y vuelve a iniciarla para actualizar la información.

📲 Si después de esto el problema continúa, por favor contáctanos a través de 👉 https://www.zubalero.com/cl/soporte/

Nuestro equipo de soporte revisará tu caso y te ayudará a recuperar tu cuenta correctamente.",acceder ahora app tuve instalarlo equipo así aparece
"Si, otra duda si se podía separar y/o asignar más de una tienda?","Sí, puedes optar a más de una tienda, siempre que pertenezcan al mismo cliente.
Por ejemplo, puedes agendar en distintas tiendas Walmart sin problema.

🛒 Si deseas cambiarte de cliente (por ejemplo, de Walmart a Jumbo), es necesario solicitarlo a través de soporte desde la app:
1. Abre la app de Zubale.
2. Ve a tu perfil y selecciona Centro de ayuda.
3. Presiona ""Iniciar conversación"".
4. Comparte tu nombre, correo y teléfono registrados, y menciona que deseas cambiar de cliente o tienda.

💬 Nuestro equipo revisará tu solicitud y te indicará los pasos a seguir.",podía separar asignar tienda
Para solicitar un cambio de tienda con quien lo puedo ver?,"Si deseas cambiarte a otra tienda del mismo cliente (por ejemplo, de una tienda Walmart a otra), puedes hacerlo directamente desde la app de Zubale, reservando en la nueva tienda.

🛒 Si quieres cambiar de cliente (por ejemplo, de Walmart a Jumbo), es necesario solicitarlo a través de soporte:
1. Abre la app de Zubale.
2. Ve a tu perfil y selecciona Centro de ayuda.
3. Haz clic en ""Iniciar conversación"".
4. Comparte tu nombre, correo y teléfono registrados, y explica que deseas cambiar de cliente o marca.

💬 Nuestro equipo te ayudará con el proceso.",solicitar cambio tienda quien ver
